TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Break and Enter Commercial,2009,1,27,7,40,18XX RENFREW ST,Hastings-Sunrise,496786.4579,5457298.3566
Break and Enter Commercial,2013,8,15,6,0,18XX RENFREW ST,Hastings-Sunrise,496786.4579,5457298.3566
Break and Enter Commercial,2008,6,13,22,49,19XX BOUNDARY RD,Hastings-Sunrise,498272.378,5457110.5286
Break and Enter Commercial,2015,10,16,6,50,19XX BOUNDARY RD,Hastings-Sunrise,498272.378,5457110.5286
Break and Enter Commercial,2003,11,14,20,45,19XX BOUNDARY RD,Hastings-Sunrise,498272.3923,5457116.0831
Break and Enter Commercial,2004,6,18,18,0,19XX BOUNDARY RD,Hastings-Sunrise,498272.3923,5457116.0831
Break and Enter Commercial,2004,6,22,4,0,19XX BOUNDARY RD,Hastings-Sunrise,498272.3923,5457116.0831
Break and Enter Commercial,2006,4,7,20,0,19XX BOUNDARY RD,Hastings-Sunrise,498272.3923,5457116.0831
Break and Enter Commercial,2003,12,31,23,0,1X N NANAIMO ST,Hastings-Sunrise,495893.7748,5459133.0151
Break and Enter Commercial,2021,1,4,0,0,1X N RENFREW ST,Hastings-Sunrise,496794.6118,5459134.5244
Break and Enter Commercial,2005,9,27,0,1,1X N RENFREW ST,Hastings-Sunrise,496794.6986,5459132.1452
Break and Enter Commercial,2006,1,10,2,20,1X N RENFREW ST,Hastings-Sunrise,496794.6986,5459132.1452
Break and Enter Commercial,2007,7,31,16,40,1X N RENFREW ST,Hastings-Sunrise,496794.7505,5459130.7342
Break and Enter Commercial,2022,2,3,13,45,1X NANAIMO ST,Hastings-Sunrise,495893.6896,5459096.4762
Break and Enter Commercial,2017,10,2,2,30,1X NANAIMO ST,Hastings-Sunrise,495893.7027,5459098.9347
Break and Enter Commercial,2014,9,16,9,19,1XX N RENFREW ST,Hastings-Sunrise,496800.3981,5459313.8741
Break and Enter Commercial,2020,1,31,7,51,1XX N RENFREW ST,Hastings-Sunrise,496800.3981,5459313.8741
Break and Enter Commercial,2017,11,21,0,53,1XX N RENFREW ST,Hastings-Sunrise,496800.59,5459273.0962
Break and Enter Commercial,2006,5,16,5,55,1XX N RENFREW ST,Hastings-Sunrise,496800.8425,5459219.3308
Break and Enter Commercial,2007,7,1,6,45,1XX N RENFREW ST,Hastings-Sunrise,496800.8425,5459219.3308
Break and Enter Commercial,2011,10,27,1,17,1XX N RENFREW ST,Hastings-Sunrise,496800.8425,5459219.3308
Break and Enter Commercial,2021,1,29,0,0,1XX N RENFREW ST,Hastings-Sunrise,496800.8425,5459219.3308
Break and Enter Commercial,2014,4,28,23,0,1XX NANAIMO ST,Hastings-Sunrise,495893.2325,5459002.166
Break and Enter Commercial,2014,5,21,1,0,1XX NANAIMO ST,Hastings-Sunrise,495893.2325,5459002.166
Break and Enter Commercial,2017,3,20,10,9,1XX NANAIMO ST,Hastings-Sunrise,495893.2325,5459002.166
Break and Enter Commercial,2003,4,5,19,30,20XX BOUNDARY RD,Hastings-Sunrise,498272.0237,5457064.1115
Break and Enter Commercial,2006,4,26,15,30,20XX CASSIAR ST,Hastings-Sunrise,497739.9617,5457016.9641
Break and Enter Commercial,2009,2,6,2,8,20XX CASSIAR ST,Hastings-Sunrise,497739.9617,5457016.9641
Break and Enter Commercial,2012,7,30,1,15,20XX CASSIAR ST,Hastings-Sunrise,497739.9617,5457016.9641
Break and Enter Commercial,2010,8,7,3,0,20XX RUPERT ST,Hastings-Sunrise,497556.2672,5457042.0548
Break and Enter Commercial,2003,7,20,1,15,21XX RENFREW ST,Hastings-Sunrise,496771.6795,5456959.5548
Break and Enter Commercial,2016,2,27,18,50,21XX RENFREW ST,Hastings-Sunrise,496771.6795,5456959.5548
